Sub-network,Date,Latency (ms), MACs,Top-1 Acc (%)
"{'wid': None, 'ks': [3, 5, 5, 3, 7, 7, 7, 5, 7, 7, 3, 7, 7, 7, 3, 3, 3, 7, 5, 5], 'e': [4, 3, 6, 3, 3, 4, 6, 6, 6, 6, 3, 4, 4, 6, 3, 3, 6, 3, 3, 3], 'd': [4, 2, 4, 3, 3], 'r': [224]}",2022-07-07 04:18:08.747458,0,439991760,77.768
"{'wid': None, 'ks': [7, 3, 5, 3, 3, 3, 7, 5, 7, 3, 7, 3, 3, 3, 7, 3, 3, 5, 5, 7], 'e': [4, 3, 3, 4, 3, 6, 4, 4, 4, 3, 3, 3, 6, 3, 6, 6, 4, 3, 3, 3], 'd': [3, 4, 4, 4, 3], 'r': [224]}",2022-07-07 04:20:14.906536,0,451314048,77.79
"{'wid': None, 'ks': [7, 5, 3, 3, 3, 5, 5, 3, 5, 3, 7, 3, 7, 5, 5, 3, 7, 3, 3, 7], 'e': [6, 4, 3, 6, 6, 3, 6, 4, 3, 6, 3, 3, 6, 3, 3, 6, 6, 6, 6, 3], 'd': [2, 4, 3, 2, 4], 'r': [224]}",2022-07-07 04:21:59.997014,0,423250960,77.784
"{'wid': None, 'ks': [7, 3, 3, 5, 7, 7, 7, 3, 5, 5, 3, 7, 5, 3, 3, 7, 5, 7, 7, 3], 'e': [6, 6, 3, 6, 3, 6, 6, 4, 3, 4, 6, 6, 4, 4, 4, 6, 6, 4, 6, 4], 'd': [3, 3, 2, 3, 2], 'r': [224]}",2022-07-07 04:23:32.580008,0,412728560,77.32
"{'wid': None, 'ks': [5, 3, 3, 3, 7, 7, 3, 5, 7, 5, 5, 5, 7, 7, 3, 7, 5, 5, 3, 5], 'e': [3, 3, 3, 6, 3, 4, 6, 6, 3, 4, 6, 3, 6, 6, 3, 4, 4, 3, 6, 3], 'd': [2, 2, 3, 2, 2], 'r': [224]}",2022-07-07 04:24:52.576840,0,293567584,76.17
"{'wid': None, 'ks': [5, 7, 5, 3, 7, 7, 5, 7, 7, 3, 7, 3, 3, 5, 5, 7, 5, 7, 7, 3], 'e': [4, 4, 3, 6, 3, 4, 4, 3, 6, 4, 4, 3, 4, 3, 6, 4, 3, 4, 3, 3], 'd': [3, 3, 4, 4, 4], 'r': [224]}",2022-07-07 04:26:54.996268,0,450869112,78.294
"{'wid': None, 'ks': [3, 7, 5, 5, 7, 7, 7, 7, 5, 7, 5, 3, 7, 7, 7, 7, 7, 5, 7, 3], 'e': [4, 3, 4, 6, 3, 6, 3, 4, 4, 6, 6, 6, 4, 6, 4, 4, 3, 6, 4, 4], 'd': [3, 2, 3, 2, 4], 'r': [224]}",2022-07-07 04:28:36.287832,0,400506712,77.598
"{'wid': None, 'ks': [5, 3, 5, 5, 5, 3, 7, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 3], 'e': [6, 6, 6, 6, 6, 4, 3, 4, 6, 4, 4, 4, 6, 4, 4, 3, 3, 6, 3, 6], 'd': [4, 3, 4, 3, 4], 'r': [224]}",2022-07-07 04:30:38.113520,0,545865496,78.292
"{'wid': None, 'ks': [7, 7, 5, 5, 7, 5, 3, 7, 7, 3, 7, 7, 7, 5, 7, 3, 7, 3, 5, 7], 'e': [3, 4, 3, 6, 6, 3, 3, 3, 3, 6, 6, 3, 3, 4, 6, 6, 4, 4, 3, 6], 'd': [2, 4, 2, 4, 4], 'r': [224]}",2022-07-07 04:32:30.815745,0,443192224,77.952
"{'wid': None, 'ks': [7, 7, 7, 3, 5, 5, 5, 7, 5, 7, 7, 5, 3, 3, 5, 5, 5, 7, 5, 7], 'e': [4, 3, 4, 6, 3, 4, 6, 4, 4, 6, 4, 4, 4, 3, 3, 4, 4, 4, 6, 3], 'd': [3, 2, 4, 4, 2], 'r': [224]}",2022-07-07 04:34:13.203131,0,405136480,77.338
